"Capítulo CID-10";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";"Total"
"I.   Algumas doenças infecciosas e parasitárias";5450;18766;34297;9918;5011;73442
"II.  Neoplasias (tumores)";13858;57741;118268;47895;17275;255037
"III. Doenças sangue órgãos hemat e transt imunitár";584;2097;3531;799;512;7523
"IV.  Doenças endócrinas nutricionais e metabólicas";6089;25671;36019;14468;5720;87967
"V.   Transtornos mentais e comportamentais";692;5222;8114;3026;1312;18366
"VI.  Doenças do sistema nervoso";2428;11979;26604;12182;3677;56870
"VII. Doenças do olho e anexos";1;19;11;1;2;34
"VIII.Doenças do ouvido e da apófise mastóide";15;82;143;34;20;294
"IX.  Doenças do aparelho circulatório";22560;102356;178646;58393;26222;388177
"X.   Doenças do aparelho respiratório";10546;41912;81455;24583;11636;170132
"XI.  Doenças do aparelho digestivo";4493;20703;34249;11512;5915;76872
"XII. Doenças da pele e do tecido subcutâneo";446;3211;5060;1020;510;10247
"XIII.Doenças sist osteomuscular e tec conjuntivo";371;1891;3524;1004;543;7333
"XIV. Doenças do aparelho geniturinário";2872;12096;31686;7613;3722;57989
"XV.  Gravidez parto e puerpério";221;487;585;162;149;1604
"XVI. Algumas afec originadas no período perinatal";2291;5417;6404;1981;1523;17616
"XVII.Malf cong deformid e anomalias cromossômicas";1245;3127;3856;1531;1021;10780
"XVIII.Sint sinais e achad anorm ex clín e laborat";5992;19389;35985;7107;2655;71128
"XIX. Lesões enven e alg out conseq causas externas";-;-;1;1;-;2
"XX.  Causas externas de morbidade e mortalidade";14323;48480;55931;22340;13123;154197
"Total";94477;380646;664369;225570;100548;1465610
